county,fips,totalpop
Rio Blanco,8,6465
Rio Grande,8,11351
Routt,8,24874
Saguache,8,6468
San Juan,8,544
San Miguel,8,7968
Sedgwick,8,2350
Summit,8,30429
Teller,8,24113
Washington,8,4840
Weld,8,295123
Yuma,8,10069
Fairfield,9,944348
Hartford,9,894730
Litchfield,9,183031
Middlesex,9,163368
New Haven,9,859339
New London,9,268881
Tolland,9,151269
Windham,9,116538
Kent,10,174822
New Castle,10,555133
Sussex,10,219540
District of Columbia,11,684498
Alachua,12,263148
Baker,12,27785
Bay,12,182482
Bradford,12,26979
Brevard,12,576808
Broward,12,1909151
Calhoun,12,14444
Charlotte,12,176954
Citrus,12,143087
Clay,12,207291
Collier,12,363922
Columbia,12,69105
DeSoto,12,36399
Dixie,12,16437
Duval,12,924229
Escambia,12,311522
Flagler,12,107139
Franklin,12,11736
Gadsden,12,46017
Gilchrist,12,17615
Glades,12,13363
Gulf,12,16055
Hamilton,12,14269
Hardee,12,27228
Hendry,12,40127
Hernando,12,182696
Highlands,12,102101
Hillsborough,12,1378883
Holmes,12,19430
Indian River,12,150984
Jackson,12,48472
Jefferson,12,14105
Lafayette,12,8744
Lake,12,335362
Lee,12,718679
Leon,12,288102
Levy,12,39961
Liberty,12,8365
Madison,12,18474
Manatee,12,373853
Marion,12,348371
Martin,12,157581
Miami-Dade,12,2715516
Monroe,12,76325
Nassau,12,80578
Okaloosa,12,200737
Okeechobee,12,40572
Orange,12,1321194
Osceola,12,338619
Palm Beach,12,1446277
Pasco,12,510593
Pinellas,12,957875
Polk,12,668671
Putnam,12,72766
St. Johns,12,235503
St. Lucie,12,305591
Santa Rosa,12,170442
Sarasota,12,412144
Seminole,12,455086
Sumter,12,120999
Suwannee,12,43924
Taylor,12,22098
Union,12,15239
Volusia,12,527634
Wakulla,12,31877
Walton,12,65858
Washington,12,24566
Appling,13,18454
Atkinson,13,8265
Bacon,13,11228
Baker,13,3189
Baldwin,13,45286
Banks,13,18510
Barrow,13,76887
Bartow,13,103620
Ben Hill,13,17154
Berrien,13,19025
Bibb,13,153490
Bleckley,13,12775
Brantley,13,18561
Brooks,13,15622
Bryan,13,35885
Bulloch,13,74782
Burke,13,22550
Butts,13,23750
Calhoun,13,6428
Camden,13,52714
Candler,13,10827
Carroll,13,116022
Catoosa,13,66299
Charlton,13,12983
Chatham,13,287049
Chattahoochee,13,10767
Chattooga,13,24817
Cherokee,13,241910
Clarke,13,124602
Clay,13,3001
Clayton,13,278666
Clinch,13,6743
Cobb,13,745057
Coffee,13,42961
Colquitt,13,45606
Columbia,13,147295
Cook,13,17184
Coweta,13,140516
Crawford,13,12344
Crisp,13,22846
Dade,13,16227
Dawson,13,23861
Decatur,13,26833
DeKalb,13,743187
Dodge,13,20919
Dooly,13,13905
Dougherty,13,91049
Douglas,13,141840
Early,13,10348
Echols,13,3994
Effingham,13,58689
Elbert,13,19212
Emanuel,13,22499
Evans,13,10727
Fannin,13,24925
Fayette,13,111369
Floyd,13,96824
Forsyth,13,219880
Franklin,13,22514
Fulton,13,1021902
Gilmer,13,29922
Glascock,13,3009
Glynn,13,83974
Gordon,13,56790
Grady,13,24926
Greene,13,16976
Gwinnett,13,902298
Habersham,13,44289
Hall,13,195961
Hancock,13,8535
Haralson,13,28956
Harris,13,33590
Hart,13,25631
Heard,13,11677
Henry,13,221307
Houston,13,151682
Irwin,13,9268
Jackson,13,65755
Jasper,13,13784
Jeff Davis,13,14991
Jefferson,13,15772
Jenkins,13,8827
Johnson,13,9730
Jones,13,28548
Lamar,13,18513
Lanier,13,10366
Laurens,13,47418
Lee,13,29348
Liberty,13,62108
Lincoln,13,7799
Long,13,18156
Lowndes,13,114582
Lumpkin,13,31951
McDuffie,13,21498
McIntosh,13,14120
Macon,13,13480
Madison,13,28900
Marion,13,8484
Meriwether,13,21113
Miller,13,5836
Mitchell,13,22432
Monroe,13,27010
Montgomery,13,9036
Morgan,13,18235
Murray,13,39557
Muscogee,13,196670
Newton,13,106497
Oconee,13,37017
Oglethorpe,13,14784
Paulding,13,155840
Peach,13,26966
Pickens,13,30832
Pierce,13,19164
Pike,13,18082
Polk,13,41621
Pulaski,13,11295
Putnam,13,21503
Quitman,13,2276
Rabun,13,16457
Randolph,13,7087
Richmond,13,201463
Rockdale,13,89011
Schley,13,5211
Screven,13,13990
Seminole,13,8437
Spalding,13,64719
Stephens,13,25676
Stewart,13,6042
Sumter,13,30352
Talbot,13,6378
Taliaferro,13,1665
Tattnall,13,25353
Taylor,13,8193
Telfair,13,16115
Terrell,13,8859
Thomas,13,44730
Tift,13,40510
Toombs,13,27048
Towns,13,11417
Treutlen,13,6777
Troup,13,69774
Turner,13,7962
Twiggs,13,8284
Union,13,22775
Upson,13,26216
Walker,13,68824
Walton,13,90132
Ware,13,35599
Warren,13,5346
Washington,13,20461
Wayne,13,29767
Webster,13,2613
Wheeler,13,7939
White,13,28928
Whitfield,13,103849
Wilcox,13,8846
Wilkes,13,9884
Wilkinson,13,9078
Worth,13,20656
Hawaii,15,197658
Honolulu,15,987638
Kalawao,15,75
Kauai,15,71377
Maui,15,165281
Ada,16,446052
Adams,16,4019
Bannock,16,85065
Bear Lake,16,5962
Benewah,16,9086
Bingham,16,45551
Blaine,16,21994
Boise,16,7163
Bonner,16,42711
Bonneville,16,112397
Boundary,16,11549
Butte,16,2602
Camas,16,886
Canyon,16,212230
Caribou,16,6918
Cassia,16,23615
Clark,16,1077
Clearwater,16,8640
Custer,16,4141
Elmore,16,26433
Franklin,16,13279
Fremont,16,12965
Gem,16,17052
Gooding,16,15169
Idaho,16,16337
Jefferson,16,27969
Jerome,16,23431
Kootenai,16,153605
Latah,16,39239
Lemhi,16,7798
Lewis,16,3845
Lincoln,16,5321
Madison,16,38705
Minidoka,16,20615
Nez Perce,16,40155
Oneida,16,4326
Owyhee,16,11455
Payette,16,23041
Power,16,7713
Shoshone,16,12526
Teton,16,11080
Twin Falls,16,83666
Valley,16,10401
Washington,16,10025
Adams,17,66427
Alexander,17,6532
Bond,17,16712
Boone,17,53606
Brown,17,6675
Bureau,17,33381
Calhoun,17,4858
Carroll,17,14562
Cass,17,12665
Champaign,17,209448
Christian,17,33231
Clark,17,15836
