county,fips,totalpop
Martin,27,19964
Meeker,27,23079
Mille Lacs,27,25728
Morrison,27,32949
Mower,27,39602
Murray,27,8353
Nicollet,27,33783
Nobles,27,21839
Norman,27,6559
Olmsted,27,153065
Otter Tail,27,57992
Pennington,27,14184
Pine,27,29129
Pipestone,27,9185
Polk,27,31591
Pope,27,10980
Ramsey,27,541493
Red Lake,27,4008
Redwood,27,15331
Renville,27,14721
Rice,27,65765
Rock,27,9413
Roseau,27,15462
St. Louis,27,200080
Scott,27,143372
Sherburne,27,93231
Sibley,27,14912
Stearns,27,156819
Steele,27,36676
Stevens,27,9784
Swift,27,9411
Todd,27,24440
Traverse,27,3337
Wabasha,27,21500
Wadena,27,13646
Waseca,27,18809
Washington,27,253317
Watonwan,27,10973
Wilkin,27,6343
Winona,27,50847
Wright,27,132745
Yellow Medicine,27,9868
Adams,28,31547
Alcorn,28,37180
Amite,28,12468
Attala,28,18581
Benton,28,8253
Bolivar,28,32592
Calhoun,28,14571
Carroll,28,10129
Chickasaw,28,17279
Choctaw,28,8321
Claiborne,28,9120
Clarke,28,15928
Clay,28,19808
Coahoma,28,23802
Copiah,28,28721
Covington,28,19091
DeSoto,28,176132
Forrest,28,75517
Franklin,28,7757
George,28,23710
Greene,28,13714
Grenada,28,21278
Hancock,28,46653
Harrison,28,202626
Hinds,28,241774
Holmes,28,18075
Humphreys,28,8539
Issaquena,28,1328
Itawamba,28,23480
Jackson,28,142014
Jasper,28,16529
Jefferson,28,7346
Jefferson Davis,28,11495
Jones,28,68454
Kemper,28,10107
Lafayette,28,53459
Lamar,28,61223
Lauderdale,28,77323
Lawrence,28,12630
Leake,28,22870
Lee,28,84915
Leflore,28,29804
Lincoln,28,34432
Lowndes,28,59437
Madison,28,103498
Marion,28,25202
Marshall,28,35787
Monroe,28,35840
Montgomery,28,10198
Neshoba,28,29376
Newton,28,21524
Noxubee,28,10828
Oktibbeha,28,49481
Panola,28,34243
Pearl River,28,55149
Perry,28,12028
Pike,28,39737
Pontotoc,28,31315
Prentiss,28,25360
Quitman,28,7372
Rankin,28,151240
Scott,28,28415
Sharkey,28,4511
Simpson,28,27073
Smith,28,16063
Stone,28,18375
Sunflower,28,26532
Tallahatchie,28,14361
Tate,28,28493
Tippah,28,21990
Tishomingo,28,19478
Tunica,28,10170
Union,28,28356
Walthall,28,14601
Warren,28,47075
Washington,28,47086
Wayne,28,20422
Webster,28,9828
Wilkinson,28,8990
Winston,28,18358
Yalobusha,28,12421
Yazoo,28,27974
Adair,29,25325
Andrew,29,17403
Atchison,29,5270
Audrain,29,25735
Barry,29,35493
Barton,29,11850
Bates,29,16374
Benton,29,18989
Bollinger,29,12281
Boone,29,176515
Buchanan,29,89076
Butler,29,42733
Caldwell,29,9049
Callaway,29,44840
Camden,29,45096
Cape Girardeau,29,78324
Carroll,29,8843
Carter,29,6197
Cedar,29,13938
Chariton,29,7546
Christian,29,84275
Clark,29,6800
Clinton,29,20475
Cole,29,76740
Cooper,29,17622
Crawford,29,24280
Dade,29,7590
Dallas,29,16499
Daviess,29,8302
DeKalb,29,12564
Dent,29,15504
Douglas,29,13374
Dunklin,29,30428
Franklin,29,102781
Gasconade,29,14746
Gentry,29,6665
Greene,29,288429
Grundy,29,10039
Harrison,29,8554
Henry,29,21765
Hickory,29,9368
Holt,29,4456
Howard,29,10113
Howell,29,40102
Iron,29,10221
Jasper,29,119238
Jefferson,29,223302
Johnson,29,53689
Knox,29,3951
Laclede,29,35507
Lafayette,29,32589
Lawrence,29,38133
Lewis,29,10027
Lincoln,29,55563
Linn,29,12186
Livingston,29,15076
McDonald,29,22827
Macon,29,15254
Madison,29,12205
Maries,29,8884
Marion,29,28672
Mercer,29,3664
Miller,29,25049
Mississippi,29,13748
Moniteau,29,15958
Monroe,29,8654
Montgomery,29,11545
Morgan,29,20137
New Madrid,29,17811
Newton,29,58202
Nodaway,29,22547
Oregon,29,10699
Osage,29,13619
Ozark,29,9236
Pemiscot,29,17031
Perry,29,19146
Pettis,29,42371
Phelps,29,44789
Pike,29,18489
Polk,29,31549
Pulaski,29,52591
Putnam,29,4815
Ralls,29,10217
Randolph,29,24945
Ray,29,22825
Reynolds,29,6315
Ripley,29,13693
St. Charles,29,389985
St. Clair,29,9383
Ste. Genevieve,29,17871
St. Francois,29,66342
St. Louis,29,998684
Saline,29,23102
Schuyler,29,4502
Scotland,29,4898
Scott,29,38729
Shannon,29,8246
Shelby,29,6061
Stoddard,29,29512
Stone,29,31527
Sullivan,29,6317
Taney,29,54720
Texas,29,25671
Vernon,29,20691
Warren,29,33908
Washington,29,24931
Wayne,29,13308
Webster,29,38082
Worth,29,2040
Wright,29,18293
St. Louis,29,311273
Beaverhead,30,9393
Big Horn,30,13376
Blaine,30,6727
Broadwater,30,5834
Carbon,30,10546
Carter,30,1318
Cascade,30,81746
Chouteau,30,5789
Custer,30,11845
Daniels,30,1753
Dawson,30,9191
Deer Lodge,30,9100
Fallon,30,2838
Fergus,30,11273
Flathead,30,98082
Gallatin,30,104729
Garfield,30,1141
Glacier,30,13699
Golden Valley,30,724
Granite,30,3269
Hill,30,16439
Jefferson,30,11778
Judith Basin,30,1951
Lake,30,29774
Lewis and Clark,30,67077
Liberty,30,2280
Lincoln,30,19358
McCone,30,1630
Madison,30,8218
Meagher,30,1968
Mineral,30,4211
Missoula,30,115983
Musselshell,30,4807
Park,30,16246
Petroleum,30,432
Phillips,30,4124
Pondera,30,6044
Powder River,30,1619
Powell,30,6861
Prairie,30,1342
Ravalli,30,41902
Richland,30,11360
Roosevelt,30,11228
Rosebud,30,9250
Sanders,30,11521
Sheridan,30,3574
Silver Bow,30,34814
Stillwater,30,9410
Sweet Grass,30,3653
Teton,30,6080
Toole,30,4976
Treasure,30,777
Valley,30,7532
Wheatland,30,2149
Wibaux,30,1175
Yellowstone,30,157816
Adams,31,31583
Antelope,31,6372
Arthur,31,418
Banner,31,696
Blaine,31,480
Boone,31,5313
Box Butte,31,11089
Boyd,31,2042
Brown,31,2988
Buffalo,31,49030
Burt,31,6528
Butler,31,8067
Cass,31,25702
Cedar,31,8523
Chase,31,3734
Cherry,31,5790
Cheyenne,31,9852
Clay,31,6232
Colfax,31,10760
Cuming,31,8991
Custer,31,10830
Dakota,31,20317
Dawes,31,8896
Dawson,31,23804
Deuel,31,1894
Dixon,31,5746
Dodge,31,36683
Douglas,31,554992
Dundy,31,2023
Fillmore,31,5574
Franklin,31,3006
Frontier,31,2609
Furnas,31,4786
Gage,31,21595
Garden,31,1860
Garfield,31,1975
Gosper,31,2015
Grant,31,718
Greeley,31,2410
Hall,31,61343
Hamilton,31,9178
Harlan,31,3438
Hayes,31,943
Hitchcock,31,2843
Holt,31,10245
Hooker,31,691
Howard,31,6405
Jefferson,31,7188
Johnson,31,5197
Kearney,31,6552
Keith,31,8099
Keya Paha,31,792
Kimball,31,3667
Knox,31,8460
Lancaster,31,310094
Lincoln,31,35433
Logan,31,886
Loup,31,585
McPherson,31,454
Madison,31,35164
Merrick,31,7803
Morrill,31,4841
Nance,31,3554
Nemaha,31,7004
Nuckolls,31,4275
Otoe,31,15896
Pawnee,31,2676
Perkins,31,2907
Phelps,31,9120
Pierce,31,7157
Platte,31,33063
Polk,31,5255
Red Willow,31,10806
Richardson,31,8009
Rock,31,1350
Saline,31,14288
Sarpy,31,178351
Saunders,31,21024
Scotts Bluff,31,36255
Seward,31,17127
Sheridan,31,5234
Sherman,31,3042
Sioux,31,1266
Stanton,31,5992
Thayer,31,5098
Thomas,31,645
Thurston,31,7140
Valley,31,4224
Washington,31,20219
Wayne,31,9367
Webster,31,3571
Wheeler,31,822
York,31,13799
Churchill,32,24010
Clark,32,2141574
Douglas,32,47828
Elko,32,52252
Esmeralda,32,981
Eureka,32,1830
Humboldt,32,16904
Lander,32,5746
Lincoln,32,5174
Lyon,32,53155
Mineral,32,4448
Nye,32,43705
Pershing,32,6611
Storey,32,3941
Washoe,32,450486
White Pine,32,9737
Carson City,32,54467
Belknap,33,60640
Carroll,33,47840
Cheshire,33,76263
Coos,33,32038
Grafton,33,89811
Hillsborough,33,411087
Merrimack,33,149452
Rockingham,33,305129
Strafford,33,128237
Sullivan,33,43125
Atlantic,34,268539
Bergen,34,929999
Burlington,34,446367
Camden,34,507367
Cape May,34,93705
Cumberland,34,153400
Essex,34,793555
Gloucester,34,290852
Hudson,34,668631
Hunterdon,34,125051
Mercer,34,368762
Middlesex,34,826698
Monmouth,34,623387
Morris,34,494383
Ocean,34,591939
Passaic,34,504041
Salem,34,63336
Somerset,34,330176
Sussex,34,142298
Union,34,553066
Warren,34,106293
Bernalillo,35,677692
Catron,35,3539
Chaves,35,65459
Cibola,35,26978
Colfax,35,12353
Curry,35,50199
De Baca,35,2060
Doña Ana,35,215338
Eddy,35,57437
Grant,35,28061
Guadalupe,35,4382
Harding,35,459
Hidalgo,35,4371
Lea,35,70126
Lincoln,35,19482
Los Alamos,35,18356
Luna,35,24264
McKinley,35,72849
Mora,35,4563
Otero,35,65745
Quay,35,8373
Rio Arriba,35,39307
Roosevelt,35,19117
Sandoval,35,140769
San Juan,35,127455
San Miguel,35,28034
Santa Fe,35,148917
Sierra,35,11135
Socorro,35,17000
Taos,35,32888
Torrance,35,15595
Union,35,4175
Valencia,35,75956
Albany,36,307426
Allegany,36,47025
Broome,36,194402
Cattaraugus,36,77686
Cayuga,36,77868
Chautauqua,36,129656
Chemung,36,85740
Chenango,36,48348
Clinton,36,80794
Columbia,36,60919
Cortland,36,48123
Delaware,36,45502
Dutchess,36,293894
Erie,36,919866
Essex,36,37751
Franklin,36,50692
Fulton,36,53743
Genesee,36,58112
Greene,36,47617
Hamilton,36,4575
Herkimer,36,62505
Jefferson,36,114448
Lewis,36,26719
Livingston,36,63907
Madison,36,71359
Monroe,36,744248
Montgomery,36,49426
Nassau,36,1356564
Niagara,36,211704
Oneida,36,230782
Onondaga,36,464242
Ontario,36,109472
Orange,36,378227
Orleans,36,41175
Oswego,36,119104
Otsego,36,60244
Putnam,36,99070
Rensselaer,36,159431
Rockland,36,323686
St. Lawrence,36,109558
Saratoga,36,227377
Schenectady,36,154883
Schoharie,36,31364
Schuyler,36,17992
Seneca,36,34612
Steuben,36,96927
Suffolk,36,1487901
Sullivan,36,75211
Tioga,36,49045
Tompkins,36,102962
Ulster,36,179303
Warren,36,64480
Washington,36,61828
Wayne,36,90856
Westchester,36,968815
Wyoming,36,40565
Yates,36,25009
Alamance,37,160576
Alexander,37,37119
Alleghany,37,10973
Anson,37,25306
Ashe,37,26786
Avery,37,17501
Beaufort,37,47243
Bertie,37,19644
Bladen,37,33778
Brunswick,37,126860
Buncombe,37,254474
Burke,37,89712
Cabarrus,37,201448
Caldwell,37,81779
Camden,37,10447
Carteret,37,68920
Caswell,37,22746
Catawba,37,156729
Chatham,37,69791
Cherokee,37,27668
Chowan,37,14205
Clay,37,10813
Cleveland,37,97159
Columbus,37,56293
Craven,37,103082
Cumberland,37,332106
Currituck,37,25796
Dare,37,35741
Davidson,37,164664
Davie,37,41991
Duplin,37,59062
Durham,37,306457
Edgecombe,37,53332
Forsyth,37,371573
Franklin,37,64902
Gaston,37,216585
Gates,37,11563
Graham,37,8557
Granville,37,58874
Greene,37,21008
Guilford,37,523582
Halifax,37,51737
Harnett,37,130361
Haywood,37,60433
Henderson,37,113625
Hertford,37,24153
Hoke,37,53239
Hyde,37,5393
Iredell,37,172525
Jackson,37,42256
Johnston,37,191172
Jones,37,9695
Lee,37,60125
Lenoir,37,57227
Lincoln,37,81441
McDowell,37,45109
Macon,37,34410
Madison,37,21405
Martin,37,23054
Mecklenburg,37,1054314
Mitchell,37,15040
Montgomery,37,27338
Moore,37,95629
Nash,37,94003
New Hanover,37,224231
Northampton,37,20186
Onslow,37,193912
Orange,37,142938
Pamlico,37,12742
Pasquotank,37,39479
Pender,37,59020
Perquimans,37,13459
Person,37,39305
Pitt,37,177372
Polk,37,20458
Randolph,37,142958
Richmond,37,45189
Robeson,37,133442
Rockingham,37,91270
Rowan,37,139605
Rutherford,37,66532
Sampson,37,63561
Scotland,37,35262
Stanly,37,61114
Stokes,37,45905
Surry,37,72099
Swain,37,14254
Transylvania,37,33513
Tyrrell,37,4119
Union,37,226694
Vance,37,44482
Wake,37,1046558
Warren,37,20033
Washington,37,12156
Watauga,37,54117
Wayne,37,124002
Wilkes,37,68460
Wilson,37,81336
Yadkin,37,37665
Yancey,37,17667
Adams,38,2351
Barnes,38,10836
Benson,38,6886
Billings,38,946
Bottineau,38,6589
Bowman,38,3195
Burke,38,2213
Burleigh,38,93737
Cass,38,174202
Cavalier,38,3824
Dickey,38,4970
Divide,38,2369
Dunn,38,4387
Eddy,38,2313
Emmons,38,3352
Foster,38,3290
Golden Valley,38,1882
Grand Forks,38,70400
Grant,38,2380
Griggs,38,2266
Hettinger,38,2576
Kidder,38,2460
LaMoure,38,4100
Logan,38,1927
McHenry,38,5927
McIntosh,38,2654
McKenzie,38,12536
McLean,38,9608
Mercer,38,8570
Morton,38,30544
Mountrail,38,10152
Nelson,38,2920
Oliver,38,1837
Pembina,38,7016
Pierce,38,4210
Ramsey,38,11557
Ransom,38,5361
Renville,38,2495
Richland,38,16288
Rolette,38,14603
Sargent,38,3883
Sheridan,38,1405
Sioux,38,4413
Slope,38,704
Stark,38,30876
Steele,38,1910
Stutsman,38,21064
Towner,38,2246
Traill,38,8019
Walsh,38,10802
Ward,38,69034
Wells,38,4055
Williams,38,34061
Adams,39,27878
Allen,39,103642
Ashland,39,53477
Ashtabula,39,98136
Athens,39,65936
Auglaize,39,45784
Belmont,39,68472
Brown,39,43679
Butler,39,378294
Carroll,39,27578
Champaign,39,38864
Clark,39,135198
Clermont,39,203216
Clinton,39,41896
Columbiana,39,104003
Coshocton,39,36574
Crawford,39,42021
Cuyahoga,39,1253783
Darke,39,51734
Defiance,39,38279
Delaware,39,197008
Erie,39,75136
Fairfield,39,152910
Fayette,39,28645
Franklin,39,1275333
Fulton,39,42305
Gallia,39,30195
Geauga,39,93961
Greene,39,165811
Guernsey,39,39274
Hamilton,39,812037
Hancock,39,75690
Hardin,39,31542
Harrison,39,15307
Henry,39,27316
Highland,39,43007
Hocking,39,28495
Holmes,39,43859
Huron,39,58457
Jackson,39,32524
Jefferson,39,66886
Knox,39,61215
Lake,39,230052
Lawrence,39,60622
Licking,39,172293
Logan,39,45307
Lorain,39,306713
Lucas,39,432379
Madison,39,43988
Mahoning,39,231064
Marion,39,65344
Medina,39,177257
Meigs,39,23160
Mercer,39,40806
Miami,39,104800
Monroe,39,14090
Montgomery,39,532034
Morgan,39,14702
Morrow,39,34976
Muskingum,39,86076
Noble,39,14443
Ottawa,39,40709
Paulding,39,18872
Perry,39,35985
Pickaway,39,57420
Pike,39,28214
Portage,39,162644
Preble,39,41207
Putnam,39,33969
Richland,39,121324
Ross,39,77051
Sandusky,39,59299
Scioto,39,76377
Seneca,39,55475
Shelby,39,48797
Stark,39,373475
Summit,39,541810
Trumbull,39,201794
Tuscarawas,39,92526
Union,39,55654
Van Wert,39,28281
Vinton,39,13111
Warren,39,226564
Washington,39,60671
Wayne,39,116208
Williams,39,36936
Wood,39,129936
Wyandot,39,22107
Adair,40,22113
Alfalfa,40,5857
Atoka,40,13874
Beaver,40,5415
Beckham,40,22621
Blaine,40,9634
Bryan,40,45759
Caddo,40,29342
Canadian,40,136710
Carter,40,48406
Cherokee,40,48599
Choctaw,40,14886
Cimarron,40,2189
Cleveland,40,276733
Coal,40,5618
Comanche,40,122561
Cotton,40,5929
Craig,40,14493
Creek,40,71160
Custer,40,29209
Delaware,40,42112
Dewey,40,4918
Ellis,40,4072
Garfield,40,62190
Garvin,40,27823
Grady,40,54733
Grant,40,4418
Greer,40,5943
Harmon,40,2721
Harper,40,3847
Haskell,40,12704
Hughes,40,13460
Jackson,40,25384
Jefferson,40,6223
Johnston,40,11041
Kay,40,44880
Kingfisher,40,15618
Kiowa,40,9001
Latimer,40,10495
Le Flore,40,49909
Lincoln,40,34854
Logan,40,46044
Love,40,9933
McClain,40,38634
McCurtain,40,32966
McIntosh,40,19819
Major,40,7718
Marshall,40,16376
Mayes,40,40980
Murray,40,13875
Muskogee,40,69084
Noble,40,11411
Nowata,40,10383
Okfuskee,40,12115
Oklahoma,40,782051
Okmulgee,40,38889
Osage,40,47311
Ottawa,40,31566
Pawnee,40,16428
Payne,40,81512
Pittsburg,40,44382
Pontotoc,40,38358
Pottawatomie,40,72000
Pushmataha,40,11119
Roger Mills,40,3708
Rogers,40,90814
Seminole,40,25071
Sequoyah,40,41359
Stephens,40,43983
Texas,40,21121
Tillman,40,7515
Tulsa,40,642781
Wagoner,40,77850
Washington,40,52001
Washita,40,11432
Woods,40,9127
Woodward,40,20967
Baker,41,15984
Benton,41,89780
Clackamas,41,405788
Clatsop,41,38562
Columbia,41,50851
Coos,41,63308
Crook,41,22337
Curry,41,22507
Deschutes,41,180640
Douglas,41,108323
Gilliam,41,1907
Grant,41,7183
Harney,41,7228
Hood River,41,23131
Jackson,41,214267
Jefferson,41,23143
Josephine,41,85481
Klamath,41,66310
Lake,41,7843
Lane,41,368882
Lincoln,41,47881
Linn,41,122870
Malheur,41,30431
Marion,41,335553
Morrow,41,11215
Multnomah,41,798647
Polk,41,81427
Sherman,41,1605
Tillamook,41,26076
Umatilla,41,76898
Union,41,26028
Wallowa,41,6924
Wasco,41,25866
Washington,41,581821
Wheeler,41,1426
Yamhill,41,103820
Adams,42,102023
Allegheny,42,1225561
Armstrong,42,66331
Beaver,42,166896
Bedford,42,48611
Berks,42,416642
Blair,42,123842
Bradford,42,61304
Bucks,42,626370
Butler,42,186566
Cambria,42,134550
Cameron,42,4686
Carbon,42,63931
Centre,42,161443
Chester,42,517156
Clarion,42,38827
Clearfield,42,80216
Clinton,42,39074
Columbia,42,66220
Crawford,42,86164
Cumberland,42,247433
Dauphin,42,274515
Delaware,42,563527
Elk,42,30608
Erie,42,275972
Fayette,42,132289
Forest,42,7351
Franklin,42,153751
Fulton,42,14506
Greene,42,37144
Huntingdon,42,45421
Indiana,42,85755
Jefferson,42,44084
Juniata,42,24562
Lackawanna,42,211454
Lancaster,42,538347
Lawrence,42,87382
Lebanon,42,138674
Lehigh,42,362613
Luzerne,42,317884
Lycoming,42,114859
McKean,42,41806
Mercer,42,112630
Mifflin,42,46362
Monroe,42,167586
Montgomery,42,821301
Montour,42,18294
Northampton,42,301778
Northumberland,42,92325
Perry,42,45924
Philadelphia,42,1575522
Pike,42,55498
Potter,42,16937
Schuylkill,42,143555
Snyder,42,40466
Somerset,42,74949
Sullivan,42,6177
Susquehanna,42,41340
Tioga,42,41226
Union,42,45114
Venango,42,52376
Warren,42,40035
Washington,42,207547
Wayne,42,51536
Westmoreland,42,354751
Wyoming,42,27588
York,42,444014
Bristol,44,48900
Kent,44,163861
Newport,44,83075
Providence,44,634533
Washington,44,126242
Abbeville,45,24657
Aiken,45,166926
Allendale,45,9214
Anderson,45,195995
Bamberg,45,14600
Barnwell,45,21577
Beaufort,45,182658
Berkeley,45,209065
Calhoun,45,14713
Charleston,45,394708
Cherokee,45,56711
Chester,45,32326
Chesterfield,45,46024
Clarendon,45,34017
Colleton,45,37568
Darlington,45,67253
Dillon,45,30871
Dorchester,45,155474
Edgefield,45,26769
Fairfield,45,22712
Florence,45,138561
Georgetown,45,61605
Greenville,45,498402
Greenwood,45,70264
Hampton,45,19807
Horry,45,320915
Jasper,45,27900
Kershaw,45,64361
Lancaster,45,89546
Laurens,45,66710
Lee,45,17606
Lexington,45,286316
McCormick,45,9606
Marion,45,31562
Marlboro,45,27131
Newberry,45,38068
Oconee,45,76696
Orangeburg,45,88454
Pickens,45,122746
Richland,45,408263
Saluda,45,20299
Spartanburg,45,302195
Sumter,45,106995
Union,45,27644
Williamsburg,45,31794
York,45,258641
Aurora,46,2759
Beadle,46,18374
Bennett,46,3437
Bon Homme,46,6969
Brookings,46,34239
Brown,46,38840
Brule,46,5256
Buffalo,46,2053
Butte,46,10177
Campbell,46,1435
Charles Mix,46,9344
Clark,46,3673
Clay,46,13925
Codington,46,27993
Corson,46,4168
Custer,46,8573
Davison,46,19901
Day,46,5506
Deuel,46,4306
Dewey,46,5779
Douglas,46,2930
Edmunds,46,3940
Fall River,46,6774
Faulk,46,2322
Grant,46,7217
Gregory,46,4201
Haakon,46,2082
Hamlin,46,6000
Hand,46,3301
Hanson,46,3397
Harding,46,1311
Hughes,46,17617
Hutchinson,46,7315
Hyde,46,1331
Jackson,46,3287
Jerauld,46,2029
Jones,46,735
Kingsbury,46,4967
Lake,46,12574
Lawrence,46,25234
Lincoln,46,54914
Lyman,46,3869
McCook,46,5511
McPherson,46,2364
Marshall,46,4895
Meade,46,27424
Mellette,46,2055
Miner,46,2229
Minnehaha,46,186749
Moody,46,6506
Oglala Lakota,46,14335
Pennington,46,109294
Perkins,46,2907
Potter,46,2326
Roberts,46,10285
Sanborn,46,2388
Spink,46,6543
Stanley,46,2997
Sully,46,1331
Todd,46,10146
Tripp,46,5468
Turner,46,8264
Union,46,15177
Walworth,46,5510
Yankton,46,22717
Ziebach,46,2814
Anderson,47,75775
Bedford,47,47558
Benton,47,16112
Bledsoe,47,14602
Blount,47,128443
Bradley,47,104557
Campbell,47,39687
Cannon,47,13976
Carroll,47,28018
Carter,47,56391
Cheatham,47,39929
Chester,47,17150
Claiborne,47,31613
Clay,47,7686
Cocke,47,35336
Coffee,47,54531
Crockett,47,14499
Cumberland,47,58634
Davidson,47,684017
Decatur,47,11683
DeKalb,47,19601
Dickson,47,51988
Dyer,47,37576
Fayette,47,39692
Fentress,47,17994
Franklin,47,41512
Gibson,47,49175
Giles,47,29167
Grainger,47,23013
Greene,47,68669
Grundy,47,13331
Hamblen,47,63740
Hamilton,47,357546
Hancock,47,6585
Hardeman,47,25562
Hardin,47,25771
Hawkins,47,56402
Haywood,47,17779
Henderson,47,27859
Henry,47,32279
Hickman,47,24678
Houston,47,8176
Humphreys,47,18318
Jackson,47,11615
Jefferson,47,53247
Johnson,47,17789
Knox,47,456185
Lake,47,7526
Lauderdale,47,26297
Lawrence,47,42937
Lewis,47,11956
Lincoln,47,33711
Loudon,47,51610
McMinn,47,52773
McNairy,47,25903
Macon,47,23487
Madison,47,97682
Marion,47,28417
Marshall,47,32269
Maury,47,89776
Meigs,47,11962
Monroe,47,45876
Montgomery,47,196387
Moore,47,6322
Morgan,47,21596
Obion,47,30520
Overton,47,22004
Perry,47,7912
Pickett,47,5088
Polk,47,16782
Putnam,47,76440
Rhea,47,32628
Roane,47,52897
Robertson,47,69344
Rutherford,47,307128
Scott,47,21954
Sequatchie,47,14730
Sevier,47,96287
Shelby,47,937005
Smith,47,19458
Stewart,47,13301
Sullivan,47,156734
Sumner,47,179473
Tipton,47,61446
Trousdale,47,9573
Unicoi,47,17780
Union,47,19293
Van Buren,47,5704
Warren,47,40454
Washington,47,127055
Wayne,47,16649
Weakley,47,33626
White,47,26580
Williamson,47,218648
Wilson,47,132663
Anderson,48,57863
Andrews,48,17818
Angelina,48,87607
Aransas,48,24763
Archer,48,8789
Armstrong,48,1916
Atascosa,48,48828
Austin,48,29565
Bailey,48,7092
Bandera,48,21763
Bastrop,48,82577
Baylor,48,3591
Bee,48,32691
Bell,48,342236
Bexar,48,1925865
Blanco,48,11279
Borden,48,665
Bosque,48,18122
Bowie,48,93858
Brazoria,48,353999
Brazos,48,219193
Brewster,48,9216
Briscoe,48,1546
Brooks,48,7180
Brown,48,37834
Burleson,48,17863
Burnet,48,45750
Caldwell,48,41401
Calhoun,48,21807
Callahan,48,13770
Cameron,48,421750
Camp,48,12813
Carson,48,6032
Cass,48,30087
Castro,48,7787
Chambers,48,40292
Cherokee,48,51903
Childress,48,7226
Clay,48,10387
Cochran,48,2904
Coke,48,3275
Coleman,48,8391
Collin,48,944350
Collingsworth,48,2996
Colorado,48,21022
Comal,48,135097
Comanche,48,13495
Concho,48,4233
Cooke,48,39571
Coryell,48,75389
Cottle,48,1623
Crane,48,4839
Crockett,48,3633
Crosby,48,5861
Culberson,48,2241
Dallam,48,7243
Dallas,48,2586552
Dawson,48,12964
Deaf Smith,48,18899
Delta,48,5215
Denton,48,807047
DeWitt,48,20435
Dickens,48,2216
Dimmit,48,10663
Donley,48,3387
Duval,48,11355
Eastland,48,18270
Ector,48,158342
Edwards,48,2055
Ellis,48,168838
El Paso,48,837654
Erath,48,41482
Falls,48,17299
Fannin,48,34175
Fayette,48,25066
Fisher,48,3883
Floyd,48,5872
Foard,48,1408
Fort Bend,48,739342
Franklin,48,10679
Freestone,48,19709
Frio,48,19394
Gaines,48,20321
Galveston,48,327089
Garza,48,6288
Gillespie,48,26208
Glasscock,48,1430
Goliad,48,7531
Gonzales,48,20667
Gray,48,22685
Grayson,48,128560
Gregg,48,123494
Grimes,48,27630
Guadalupe,48,155137
Hale,48,34113
Hall,48,3074
Hamilton,48,8269
Hansford,48,5547
Hardeman,48,3952
Hardin,48,56379
Harris,48,4602523
Harrison,48,66645
Hartley,48,5767
Haskell,48,5809
Hays,48,204150
Hemphill,48,4061
Henderson,48,80460
Hidalgo,48,849389
Hill,48,35399
Hockley,48,23162
Hood,48,56901
Hopkins,48,36240
Houston,48,22955
Howard,48,36667
Hudspeth,48,4098
Hunt,48,92152
Hutchinson,48,21571
Irion,48,1524
Jack,48,8842
Jackson,48,14820
Jasper,48,35504
Jeff Davis,48,2234
Jefferson,48,255210
Jim Hogg,48,5282
Jim Wells,48,41192
Johnson,48,163475
Jones,48,19891
Karnes,48,15387
Kaufman,48,118910
Kendall,48,41982
Kenedy,48,595
Kent,48,749
Kerr,48,51365
Kimble,48,4408
King,48,228
Kinney,48,3675
Kleberg,48,31425
Knox,48,3733
Lamar,48,49532
Lamb,48,13262
Lampasas,48,20640
La Salle,48,7409
Lavaca,48,19941
Lee,48,16952
Leon,48,17098
Liberty,48,81862
Limestone,48,23515
Lipscomb,48,3469
Live Oak,48,12123
Llano,48,20640
Loving,48,102
Lubbock,48,301454
Lynn,48,5808
McCulloch,48,8098
McLennan,48,248429
McMullen,48,662
Madison,48,14128
Marion,48,10083
Martin,48,5614
Mason,48,4161
Matagorda,48,36743
Maverick,48,57970
Medina,48,49334
Menard,48,2123
Midland,48,164194
Milam,48,24664
Mills,48,4902
Mitchell,48,8558
Montague,48,19409
Montgomery,48,554445
Moore,48,21801
Morris,48,12424
Motley,48,1156
Nacogdoches,48,65558
Navarro,48,48583
Newton,48,14057
Nolan,48,14966
Nueces,48,360486
Ochiltree,48,10348
Oldham,48,2090
Orange,48,84047
Palo Pinto,48,28317
Panola,48,23440
Parker,48,129802
Parmer,48,9852
Pecos,48,15797
Polk,48,47837
Potter,48,120899
Presidio,48,7123
Rains,48,11473
Randall,48,132475
Reagan,48,3752
Real,48,3389
Red River,48,12275
Reeves,48,15125
Refugio,48,7236
Roberts,48,885
Robertson,48,16890
Rockwall,48,93642
Runnels,48,10310
Rusk,48,53595
Sabine,48,10458
San Augustine,48,8327
San Jacinto,48,27819
San Patricio,48,67046
San Saba,48,5962
Schleicher,48,3061
Scurry,48,17239
Shackelford,48,3311
Shelby,48,25478
Sherman,48,3058
Smith,48,225015
Somervell,48,8743
Starr,48,63894
Stephens,48,9372
Sterling,48,1141
Stonewall,48,1385
Sutton,48,3865
Swisher,48,7484
Tarrant,48,2019977
Taylor,48,136348
Terrell,48,862
Terry,48,12615
Throckmorton,48,1567
Titus,48,32730
Tom Green,48,117466
Travis,48,1203166
Trinity,48,14569
Tyler,48,21496
Upshur,48,40769
Upton,48,3634
Uvalde,48,27009
Val Verde,48,49027
Van Zandt,48,54368
Victoria,48,91970
Walker,48,71539
Waller,48,49987
Ward,48,11586
Washington,48,34796
Webb,48,272053
Wharton,48,41551
